Czas,Ping
2025-08-11 11:32:59,32
2025-08-11 11:33:04,34
2025-08-11 11:33:10,31
2025-08-11 11:33:15,38
2025-08-11 11:33:20,32
2025-08-11 11:33:26,34
2025-08-11 11:33:31,32
2025-08-11 11:33:36,32
2025-08-11 11:33:47,40
2025-08-11 11:33:52,36
2025-08-11 11:33:58,34
2025-08-11 11:34:03,34
2025-08-11 11:34:08,32
2025-08-11 11:34:14,33
2025-08-11 11:34:19,32
2025-08-11 11:34:25,33
2025-08-11 11:34:30,34
2025-08-11 11:34:36,39
2025-08-11 11:34:41,34
2025-08-11 11:34:46,30
2025-08-11 11:34:52,32
2025-08-11 11:34:57,33
2025-08-11 11:35:02,32
2025-08-11 11:35:08,34
2025-08-11 11:35:13,33
2025-08-11 11:35:18,32
2025-08-11 11:35:24,34
2025-08-11 11:35:29,34
2025-08-11 11:35:35,32
2025-08-11 11:35:40,33
2025-08-11 11:35:46,33
2025-08-11 11:35:51,32
2025-08-11 11:35:56,33
2025-08-11 11:36:01,32
2025-08-11 11:36:07,31
2025-08-11 11:36:12,32
2025-08-11 11:36:17,32
2025-08-11 11:36:23,33
2025-08-11 11:36:28,33
2025-08-11 11:36:33,34
2025-08-11 11:36:39,33
2025-08-11 11:36:44,39
2025-08-11 11:36:50,33
2025-08-11 11:36:55,33
2025-08-11 11:37:01,31
2025-08-11 11:37:06,33
2025-08-11 11:37:11,34
2025-08-11 11:37:17,33
2025-08-11 11:37:22,36
2025-08-11 11:37:27,33
2025-08-11 11:37:33,35
2025-08-11 11:37:38,32
2025-08-11 11:37:43,32
2025-08-11 11:37:49,33
2025-08-11 11:37:54,32
2025-08-11 11:38:00,32
2025-08-11 11:38:05,33
2025-08-11 11:38:11,33
2025-08-11 11:38:16,32
2025-08-11 11:38:21,32
2025-08-11 11:38:27,33
2025-08-11 11:38:32,32
2025-08-11 11:38:38,35
2025-08-11 11:38:43,34
2025-08-11 11:38:48,37
2025-08-11 11:38:54,36
2025-08-11 11:38:59,37
2025-08-11 11:39:05,32
2025-08-11 11:39:10,34
2025-08-11 11:39:16,40
2025-08-11 11:39:21,33
2025-08-11 11:39:26,36
2025-08-11 11:39:32,33
2025-08-11 11:39:37,33
2025-08-11 11:39:42,38
2025-08-11 11:39:48,32
2025-08-11 11:39:53,33
2025-08-11 11:39:58,33
2025-08-11 11:40:04,33
2025-08-11 11:40:09,35
2025-08-11 11:40:15,32
2025-08-11 11:40:20,32
2025-08-11 11:40:26,35
2025-08-11 11:40:31,34
2025-08-11 11:40:36,34
2025-08-11 11:40:42,33
2025-08-11 11:40:47,37
2025-08-11 11:40:53,33
2025-08-11 11:40:58,33
2025-08-11 11:41:04,34
2025-08-11 11:41:09,36
2025-08-11 11:41:14,33
2025-08-11 11:41:20,33
2025-08-11 11:41:26,34
2025-08-11 11:41:31,36
2025-08-11 11:41:36,33
2025-08-11 11:41:41,32
